# Generation      Maximum Fitness      Average Fitness      Minimum Fitness
600                4.9231140583         4.8434953585         3.9582081292
601                4.9231140583         4.8657408109         4.1012702782
602                4.9231140583         4.8755359481         4.1067949152
603                4.9231140583         4.8659442886         4.3914132029
604                4.9231140583         4.8841802058         4.5761164002
605                4.9231140583         4.8871465706         4.7244346401
606                4.9231140583         4.8900610811         4.8850036035
607                4.9231140583         4.8655428180         4.2319385922
608                4.9231140583         4.8545813406         4.0494404366
609                4.9231140583         4.8439043828         3.9610084956
610                4.9231140583         4.8573743980         4.3353934265
611                4.9231140583         4.8554096706         4.1170419771
612                4.9231140583         4.8564271315         4.2926393535
613                4.9231140583         4.8787439927         4.5212069604
614                4.9231140583         4.8635936567         3.9664798653
615                4.9231140583         4.8400986945         4.1330265799
616                4.9231140583         4.8842657651         4.5888450089
617                4.9231140583         4.8774667193         4.0609203186
618                4.9231140583         4.8708725823         4.4179162182
619                4.9231140583         4.8671359729         4.5219073006
620                4.9231140583         4.8524649549         3.9455484360
621                4.9231140583         4.8394454201         3.9462966519
622                4.9231140583         4.8660775690         4.0878997121
623                4.9231140583         4.8663064196         4.1802461577
624                4.9231140583         4.8826065358         4.4259454554
625                4.9231140583         4.8658449469         3.9775958491
626                4.9231140583         4.8792966447         4.4501481235
627                4.9231140583         4.8491181938         4.0380266103
628                4.9231140583         4.8544035553         4.3716556444
629                4.9231140583         4.8648712707         4.0356980554
630                4.9231140583         4.8864290650         4.4733294893
631                4.9231140583         4.8792515367         4.4081599773
632                4.9231140583         4.8869101596         4.6201273947
633                4.9231140583         4.8399355745         3.9641942269
634                4.9231140583         4.8563919084         4.1767748212
635                4.9231140583         4.8716022633         4.5298591381
636                4.9231140583         4.8894613332         4.7446655440
637                4.9231140583         4.8745144378         4.1761877090
638                4.9231140583         4.8737724836         4.2867636081
639                4.9231140583         4.8574355534         3.9516126097
640                4.9231140583         4.8783901427         4.5260119772
641                4.9231140583         4.8922958856         4.7544180415
642                4.9231140583         4.8612070992         4.0383661536
643                4.9231140583         4.8743724548         4.2612846805
644                4.9231140583         4.8755199148         4.2915979996
645                4.9231140583         4.8737908913         4.4061026953
646                4.9231140583         4.8670733001         4.6890518960
647                4.9231140583         4.8797471333         4.5541162630
648                4.9231140583         4.8615262646         4.0075010770
649                4.9231140583         4.8605706870         4.0260311357
650                4.9231140583         4.8733650067         4.5794224901
651                4.9231140583         4.8722740784         4.4602099154
652                4.9231140583         4.8671051533         4.2781051411
