# Generation      Maximum Fitness      Average Fitness      Minimum Fitness
575                4.9573604430         4.8852356496         4.5061950743
576                4.9573604430         4.9183828332         4.5247044967
577                4.9573604430         4.9180577253         4.3136012544
578                4.9573604430         4.8535280693         4.1017525336
579                4.9573604430         4.8656217625         3.9026100127
580                4.9573604430         4.8193018691         3.6444753877
581                4.9573604430         4.8564565220         3.9749098500
582                4.9573604430         4.8718083295         3.9749098500
583                4.9573604430         4.9248205812         4.1507924559
584                4.9573604430         4.9281267344         4.1507924559
585                4.9573604430         4.8884551691         3.9960583362
586                4.9573604430         4.8594433724         4.1092300566
587                4.9573604430         4.8522674491         4.1037004382
588                4.9573604430         4.7569243515         3.4152039322
589                4.9573604430         4.7602511867         3.9803204188
590                4.9573604430         4.8765961648         4.1037004382
591                4.9573604430         4.8676849264         4.1037004382
592                4.9573604430         4.8904805836         4.0448378597
593                4.9573604430         4.8585561701         3.9980382102
594                4.9573604430         4.8238608450         3.4887568047
595                4.9573604430         4.8589603946         3.6366247401
596                4.9573604430         4.8170185863         3.6366247401
597                4.9573604430         4.8718646988         4.0129508103
598                4.9573604430         4.8472666091         4.0416064279
